Berca Cakra Puri Indah,PLATINUM Partner,Services Specialist - Gold,Ruko Sentra NiagaPuri Indah Blok T1 No 20,"(021)3800902,3455880",customer_care@berca.co.id/bintoro.yuwono@berca.co.
,,Converged Infrastructure Specialist - Platinum,"Jakarta, Spec Reg Jakarta 11610",,
,,Storage Specialist - Gold,"(021)3800902,3455880",,
,,Services Delivery Specialist - Gold,customer_care@berca.co.id/bintoro.yuwono@berca.co.,,
,,Hyper-converged Specialist,Visit Website,,
,,Big Data Platform Specialist - Silver,,,
,,Sever Specialist - Gold,,,
,,Networking Specialist - Gold,,,
Berca Cakra Puri Indah,PLATINUM Partner,Services Specialist - Gold,Ruko Sentra NiagaPuri Indah Blok T1 No 20,"(021)3800902,3455880",customer_care@berca.co.id/bintoro.yuwono@berca.co.
,,Converged Infrastructure Specialist - Platinum,"Jakarta, Spec Reg Jakarta 11610",,
,,Storage Specialist - Gold,"(021)3800902,3455880",,
,,Services Delivery Specialist - Gold,customer_care@berca.co.id/bintoro.yuwono@berca.co.,,
,,Hyper-converged Specialist,Visit Website,,
,,Big Data Platform Specialist - Silver,,,
,,Sever Specialist - Gold,,,
,,Networking Specialist - Gold,,,
Berca Hardaya Perkasa-Jasatel,PLATINUM Partner,Services Specialist - Gold,Cyber Building Lt.IJl.Kuningan Barat No.8,"(021)3800902,3455880",customer_care@berca.co.id/bintoro.yuwono@berca.co.
,,Converged Infrastructure Specialist - Platinum,"Jakarta, Spec Reg Jakarta 12710",,
,,Storage Specialist - Gold,+62-21-5208987,,
,,Services Delivery Specialist - Gold,customer_care@berca.co.id/bintoro.yuwono@berca.co.,,
,,Hyper-converged Specialist,Visit Website,,
,,Big Data Platform Specialist - Silver,,,
,,Sever Specialist - Gold,,,
,,Networking Specialist - Gold,,,
"Berca Cakra Teknologi, PT",PLATINUM Partner,Services Specialist - Gold,Tanagamas BuildingJl. Tanah Abang III no. 19H,"(021)3800902,3455880",customer_care@berca.co.id/bintoro.yuwono@berca.co.
,,Converged Infrastructure Specialist - Platinum,"Jakarta, Spec Reg Jakarta 10150",,
,,Storage Specialist - Gold,+62-21-2316352,,
,,Services Delivery Specialist - Gold,customer_care@berca.co.id/bintoro.yuwono@berca.co.,,
,,Hyper-converged Specialist,Visit Website,,
,,Big Data Platform Specialist - Silver,,,
,,Sever Specialist - Gold,,,
,,Networking Specialist - Gold,,,
Berca Indonesia Service,PLATINUM Partner,Services Specialist - Gold,"Komp.Balikpapan Baru, Blk AA5/16-17Jl.MT.Haryono","(021)3800902,3455880",customer_care@berca.co.id/bintoro.yuwono@berca.co.
,,Converged Infrastructure Specialist - Platinum,"Balikpapan, East Kalimantan 76114",,
,,Storage Specialist - Gold,+62-542-878272,,
,,Services Delivery Specialist - Gold,customer_care@berca.co.id/bintoro.yuwono@berca.co.,,
,,Hyper-converged Specialist,Visit Website,,
,,Big Data Platform Specialist - Silver,,,
,,Sever Specialist - Gold,,,
,,Networking Specialist - Gold,,,
Berca Computel,PLATINUM Partner,Services Specialist - Gold,Komp.Balikpapan Permai Blk J2/14Jl.Jend Sudirman,"(021)3800902,3455880",customer_care@berca.co.id/bintoro.yuwono@berca.co.
,,Converged Infrastructure Specialist - Platinum,"Balikpapan, East Kalimantan 76114",,
,,Storage Specialist - Gold,+62-542-411726,,
,,Services Delivery Specialist - Gold,customer_care@berca.co.id/bintoro.yuwono@berca.co.,,
,,Hyper-converged Specialist,Visit Website,,
,,Big Data Platform Specialist - Silver,,,
,,Sever Specialist - Gold,,,
,,Networking Specialist - Gold,,,
Berca Hardaya Perkasa-Jasatel,PLATINUM Partner,Services Specialist - Gold,Cyber Building Lt.IJl.Kuningan Barat No.8,"(021)3800902,3455880",customer_care@berca.co.id/bintoro.yuwono@berca.co.
,,Converged Infrastructure Specialist - Platinum,"Jakarta, Spec Reg Jakarta 12710",,
,,Storage Specialist - Gold,+62-21-5208987,,
,,Services Delivery Specialist - Gold,customer_care@berca.co.id/bintoro.yuwono@berca.co.,,
,,Hyper-converged Specialist,Visit Website,,
,,Big Data Platform Specialist - Silver,,,
,,Sever Specialist - Gold,,,
,,Networking Specialist - Gold,,,
"Berca Cakra Teknologi, PT",PLATINUM Partner,Services Specialist - Gold,Tanagamas BuildingJl. Tanah Abang III no. 19H,"(021)3800902,3455880",customer_care@berca.co.id/bintoro.yuwono@berca.co.
,,Converged Infrastructure Specialist - Platinum,"Jakarta, Spec Reg Jakarta 10150",,
,,Storage Specialist - Gold,+62-21-2316352,,
,,Services Delivery Specialist - Gold,customer_care@berca.co.id/bintoro.yuwono@berca.co.,,
,,Hyper-converged Specialist,Visit Website,,
,,Big Data Platform Specialist - Silver,,,
,,Sever Specialist - Gold,,,
,,Networking Specialist - Gold,,,
Berca Indonesia Service,PLATINUM Partner,Services Specialist - Gold,"Komp.Balikpapan Baru, Blk AA5/16-17Jl.MT.Haryono","(021)3800902,3455880",customer_care@berca.co.id/bintoro.yuwono@berca.co.
,,Converged Infrastructure Specialist - Platinum,"Balikpapan, East Kalimantan 76114",,
