
Albania,,PLATINUM Partner,Hyper-converged Specialist,"MURAT TOPTANI, GJERGJI CENTER",+355 42511800,bdhima@infosystems.net
,INFOSOFT SYSTEMS SH.P.K.,,Networking Specialist - Gold,"TIRANE, 35100",,
,,,Server Specialist - Gold,+355 42511800,,
,,,Services Specialist - Gold,bdhima@infosystems.net,,
,,,Converged Infrastructure Specialist - Platinum,,,
,,,Storage Specialist - Gold,,,
Albania,,PLATINUM Partner,Hyper-converged Specialist,"PRANE STADIUMIT 'DINANO', RRUGA SULEJMAN DELVINA",+355 42511800,bdhima@infosystems.net
,CCS - Computer & Copier Systems Albania,,Networking Specialist - Gold,"TIRANA, 40000",,
,,,Server Specialist - Gold,+355 42259004,,
,,,Services Specialist - Gold,abare@ccs-albania.com,,
,,,Converged Infrastructure Specialist - Platinum,,,
,,,Storage Specialist - Gold,,,
Albania,,PLATINUM Partner,Hyper-converged Specialist,"MURAT TOPTANI, GJERGJI CENTER",+355 42511800,bdhima@infosystems.net
,INFOSOFT SYSTEMS SH.P.K.,,Networking Specialist - Gold,"TIRANE, 35100",,
,,,Server Specialist - Gold,+355 42511800,,
,,,Services Specialist - Gold,bdhima@infosystems.net,,
,,,Converged Infrastructure Specialist - Platinum,,,
,,,Storage Specialist - Gold,,,
Albania,,PLATINUM Partner,Hyper-converged Specialist,"MURAT TOPTANI, GJERGJI CENTER",+355 42511800,bdhima@infosystems.net
,INFOSOFT SYSTEMS SH.P.K.,,Networking Specialist - Gold,"TIRANE, 35100",,
,,,Server Specialist - Gold,+355 42511800,,
,,,Services Specialist - Gold,bdhima@infosystems.net,,
,,,Converged Infrastructure Specialist - Platinum,,,
,,,Storage Specialist - Gold,,,
Albania,,PLATINUM Partner,Hyper-converged Specialist,"MURAT TOPTANI, GJERGJI CENTER",+355 42511800,bdhima@infosystems.net
,INFOSOFT SYSTEMS SH.P.K.,,Networking Specialist - Gold,"TIRANE, 35100",,
,,,Server Specialist - Gold,+355 42511800,,
,,,Services Specialist - Gold,bdhima@infosystems.net,,
,,,Converged Infrastructure Specialist - Platinum,,,
,,,Storage Specialist - Gold,,,
Albania,,PLATINUM Partner,Hyper-converged Specialist,"PRANE STADIUMIT 'DINANO', RRUGA SULEJMAN DELVINA",+355 42511800,bdhima@infosystems.net
,CCS - Computer & Copier Systems Albania,,Networking Specialist - Gold,"TIRANA, 40000",,
,,,Server Specialist - Gold,+355 42259004,,
,,,Services Specialist - Gold,abare@ccs-albania.com,,
,,,Converged Infrastructure Specialist - Platinum,,,
,,,Storage Specialist - Gold,,,
