Company Name,Type of Partner,Partner Specs,Address,Contact Number,Email
,PLATINUM Partner,Storage Media - Silver,Level 2City Tower 40 Basinghall Street,+44 (0)845 355 0101,andrew.wright@scc.com
Specialist Computer Centre,,Service Provider Specialist - Silver,"London, EC2V 5DE",,
,,Services Specialist - Gold,+44 (0)845 355 0101,,
,,Storage Specialist - Gold,andrew.wright@scc.com,,
,,Hyper-converged Specialist,,,
,,Networking Specialist - Gold,,,
,,Server Specialist - Gold,,,
,,IT Management Specialist - Silver,,,
,,Cloud Builder Specialist - Gold,,,
,,Converged Infrastructure Specialist - Platinum,,,
,PLATINUM Partner,Storage Media - Silver,2nd Floor3 Cranwood Street,+44 (0)845 355 0101,andrew.wright@scc.com
Specialist Computer Centre,,Service Provider Specialist - Silver,"London, EC1V 9PE",,
,,Services Specialist - Gold,44 (0)207 367 7300,,
,,Storage Specialist - Gold,andrew.wright@scc.com,,
,,Hyper-converged Specialist,,,
,,Networking Specialist - Gold,,,
,,Server Specialist - Gold,,,
,,IT Management Specialist - Silver,,,
,,Cloud Builder Specialist - Gold,,,
,,Converged Infrastructure Specialist - Platinum,,,
,PLATINUM Partner,Storage Media - Silver,Tower 4225 Old Broad Street,+44 (0)845 355 0101,andrew.wright@scc.com
Specialist Computer Centres Plc,,Service Provider Specialist - Silver,"London, EC2N 1HQ",,
,,Services Specialist - Gold,+44 (0)13 4440 9800,,
,,Storage Specialist - Gold,andrew.wright@scc.com,,
,,Hyper-converged Specialist,,,
,,Networking Specialist - Gold,,,
,,Server Specialist - Gold,,,
,,IT Management Specialist - Silver,,,
,,Cloud Builder Specialist - Gold,,,
,,Converged Infrastructure Specialist - Platinum,,,
,PLATINUM Partner,Storage Media - Silver,14 BEVIS MARKS,+44 (0)845 355 0101,andrew.wright@scc.com
Specialist Computer Centre,,Service Provider Specialist - Silver,"LONDON, EC3A 7LH",,
,,Services Specialist - Gold,7972659723,,
,,Storage Specialist - Gold,andrew.wright@scc.com,,
