Company Name,Type of Partner,Partner Specs,Address,Contact Number,Email,Country Name,Pincode
OnX USA LLC,PLATINUM Partner,Networking Specialist - Platinum,4910 University Sq Ste 7,-8379555,Visit Website,United States of America ,35801
,,Storage Specialist - Platinum,"Huntsville, AL 35816",,,,
,,IT Operations Specialist - Gold,-8379555,,,,
,,Infrastructure Specialist - Platinum,Visit Website,,,,
,,Hyper-converged Specialist,,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Logista,PLATINUM Partner,Networking Specialist - Platinum,6767 Old Madison Pike NW Bldg 4,-8379555,Visit Website,United States of America ,35801
,,Storage Specialist - Platinum,"Huntsville, AL 35806-2172",,,,
,,Infrastructure Specialist - Platinum,-9710256,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,HPE Security - Data Security Specialist - Silver,,,,,
,,Server Specialist - Platinum,,,,,
Dynetics Inc,PLATINUM Partner,Storage Specialist - Silver,1002 Explorer Blvd,-8379555,Visit Website,United States of America ,35801
,,Server Specialist - Silver,"Huntsville, AL 35806",,,,
,,,-8640455,,,,
,,,SALES.INFO@INFO-ENGINEERING.COM,,,,
,,,Visit Website,,,,
World Wide Technology Inc,PLATINUM Partner,Networking Specialist - Platinum,111 W 16TH AVE STE 200,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,Storage Specialist - Platinum,"ANCHORAGE, AK 99501",,,,
,,HPE Security ArcSight Specialist - Gold,-7709206,,,,
,,Infrastructure Specialist - Platinum,Carrie.Catalano@wwt.com,,,,
,,Hyper-converged Specialist,Visit Website,,,,
,,HPE Security - Data Security Specialist - Gold,,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
CompuCom Systems,PLATINUM Partner,Networking Specialist - Platinum,3000 C ST STE 102,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,Storage Specialist - Platinum,"ANCHORAGE, AK 99503",,,,
,,Infrastructure Specialist - Platinum,-4965075,,,,
,,Hyper-converged Specialist,jgroat@compucom.com,,,,
,,HPE Security - Data Security Specialist - Gold,Visit Website,,,,
,,Server Specialist - Platinum,,,,,
,,Cloud Specialist - Gold,,,,,
Denali Advanced information,PLATINUM Partner,,1577 C St Ste 205,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99501-5164",,,,
,,,-2827045,,,,
,,,Visit Website,,,,
Tecpro Ltd,PLATINUM Partner,,816 E Whitney Rd,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99501",,,,
,,,-3482706,,,,
,,,jessie.janes@tecpro.com,,,,
,,,Visit Website,,,,
Network Business Systems,PLATINUM Partner,,1231 GAMBELL ST STE 300,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"ANCHORAGE, AK 99501",,,,
,,,-2723794,,,,
,,,INFO@NBSYS.COM,,,,
,,,Visit Website,,,,
Konica Minolta Business Solutions USA Inc,PLATINUM Partner,,1432 Ingra St,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99501-5434",,,,
,,,-2580841,,,,
,,,todd.smith@kmbs.konicaminolta.us,,,,
,,,Visit Website,,,,
DenaliTEK Inc,PLATINUM Partner,,1600 A ST STE 105,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"ANCHORAGE, AK 99501",,,,
,,,-8654006,,,,
,,,tclark@denalitek.com,,,,
,,,Visit Website,,,,
Lewis & Lewis Computer Store,PLATINUM Partner,,405 E FIREWEED LN STE 100,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"ANCHORAGE, AK 99503",,,,
,,,-2763602,,,,
,,,pfontana@lewisandlewis.com,,,,
,,,Visit Website,,,,
GCI,PLATINUM Partner,,2550 Denali StSte 1000,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99503-2751",,,,
,,,-4331449,,,,
,,,ajones@gci.com,,,,
,,,Visit Website,,,,
Arctic Office Machine Inc,PLATINUM Partner,,100 W FIREWEED LN,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"ANCHORAGE, AK 99503",,,,
,,,-2763228,,,,
,,,jgreer@arcticoffice.com,,,,
,,,Visit Website,,,,
ARC Alaska,PLATINUM Partner,,2739 C St,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99503",,,,
,,,-7206706,,,,
,,,abg@comnet.com.ar,,,,
,,,Visit Website,,,,
UAA Campus Bookstore,PLATINUM Partner,,2905 Providence Dr,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99508",,,,
,,,-7865666,,,,
,,,jfebert@uaa.alaska.edu,,,,
,,,Visit Website,,,,
Alaska Printer Service LLC,PLATINUM Partner,,2440 E Tudor RdSte 914,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99507-1185",,,,
,,,-7274263,,,,
,,,edwardsweet@akprinterservice.com,,,,
,,,Visit Website,,,,
"International Data Systems, Inc",PLATINUM Partner,,4011 Arctic BlvdSte 107,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99503-5701",,,,
,,,-3491096,,,,
,,,jstrebel@international-data.net,,,,
,,,Visit Website,,,,
Staples FC 129,PLATINUM Partner,,4831 Old Seward Hwy,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99503-7450",,,,
,,,-3820604,,,,
,,,natalie.smith@staples.com,,,,
,,,Visit Website,,,,
TekMate Inc,PLATINUM Partner,,4111 MINNESOTA DR,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"ANCHORAGE, AK 99503",,,,
,,,-5617189,,,,
,,,kasey.medders@tekmate.net,,,,
,,,Visit Website,,,,
Right! Systems Inc,PLATINUM Partner,,3710 WOODLAND DR STE 1500,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"ANCHORAGE, AK 99517",,,,
,,,-6778550,,,,
,,,Visit Website,,,,
Alaska Computer Geeks,PLATINUM Partner,,639 W INTL AIRPORT RD STE 14,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"ANCHORAGE, AK 99518",,,,
,,,-3365241,,,,
,,,bob@akgeeks.com,,,,
,,,Visit Website,,,,
Royal Business Systems,PLATINUM Partner,,425 W 58th Ave,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99518",,,,
,,,-5635024,,,,
,,,djohnson@akcopy.net,,,,
,,,Visit Website,,,,
DSI Inc,PLATINUM Partner,,6041 Mackay StSte 101,-7709206,Carrie.Catalano@wwt.com,United States of America ,99501
,,,"Anchorage, AK 99518",,,,
